index,Pay Grade / Step,Annual Salary,Class,Title,Current Department,Employment Status,EEO Job Category Description,Gender,Ethnic Code Description,Year of Birth,Date Started,FLSA Exempt?,County,Current_Year,Age,Age_Group,Started_Year,Year_Of_Service
15,NS,65168.45,6505,Deputy Criminal Ct Clerk 4,Criminal Court Clerk,Fulltime,Administrative support,M,White,1959,1979-09-04,N,Davidson,2024,65,65-69,1979,45
17,FD11,142808.86,10712,Fire Commander,Fire,Fulltime,Officials and administrators,M,White,1955,1979-10-16,Y,Davidson,2024,69,65-69,1979,45
21,TS10,69057.91,7327,Maint & Repair Supv,NDOT,Fulltime,Service/Maintenance,M,White,1963,1981-07-20,N,Davidson,2024,61,60-64,1981,43
23,MAC11A,105784.64,10789,Early Childhood Ctr Mgr-MAC,Metro Action Commission,Fulltime,Professionals,M,Black,1961,1981-08-24,Y,Davidson,2024,63,60-64,1981,43
24,OR11,134005.46,7159,Div Mgr-Sheriff,Sheriff,Fulltime,Officials and administrators,F,White,1959,1981-11-16,Y,Davidson,2024,65,65-69,1981,43
25,PS05B,113268.15,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1958,1981-11-16,N,Davidson,2024,66,65-69,1981,43
26,FD10,133532.45,11087,Fire Operations Chief,Fire,Fulltime,Service/Maintenance,M,White,1956,1981-12-16,Y,Davidson,2024,68,65-69,1981,43
27,ST10,72445.0,11031,Housing Assignment Spec-DCSO,Sheriff,Fulltime,Professionals,M,Black,1957,1982-02-01,N,Davidson,2024,67,65-69,1982,42
28,TG14,60282.37,1880,Equip Mechanic,Water Services,Fulltime,Skilled craft workers,M,Hispanic,1954,1982-04-16,N,Davidson,2024,70,70-74,1982,42
30,OR10,129133.05,6489,Public Hlth Nurse Practitioner,Health,Fulltime,Professionals,F,White,1950,1982-09-08,Y,Davidson,2024,74,70-74,1982,42
31,OR03,72445.0,7244,Admin Svcs Officer 3,Circuit Court Clerk,Fulltime,Professionals,M,Black,1958,1982-09-13,N,Davidson,2024,66,65-69,1982,42
34,OR05,82167.56,7245,Admin Svcs Officer 4,General Services,Fulltime,Professionals,F,White,1960,1982-11-01,Y,Davidson,2024,64,60-64,1982,42
36,OR06,78069.76,7757,Technical Specialist 2,Juvenile Court Clerk,Fulltime,Professionals,F,Black,1959,1983-01-01,Y,Davidson,2024,65,65-69,1983,41
37,TG08,46378.28,7255,Bldg Maint Leader,Water Services,Fulltime,Skilled craft workers,M,White,1964,1983-04-18,N,Davidson,2024,60,60-64,1983,41
39,OR08,100488.11,10108,Finance Admin,Police,Fulltime,Officials and administrators,F,White,1949,1983-08-17,Y,Davidson,2024,75,75-79,1983,41
40,ST08,57060.32,7745,Museum Gift Shop Mgr,Parks,Fulltime,Administrative support,M,Black,1962,1983-10-21,N,Davidson,2024,62,60-64,1983,41
42,ST07,49496.02,6466,Courier,Health,Fulltime,Administrative support,M,Black,1953,1984-05-23,N,Davidson,2024,71,70-74,1984,40
44,ST05,46377.22,11034,Circulation Assistant,Public Library,Fulltime,Paraprofessionals,F,Black,1961,1984-06-25,N,Davidson,2024,63,60-64,1984,40
46,TS16,86832.15,7786,Indust Maint Supv 2,Water Services,Fulltime,Technicians,M,White,1965,1984-09-16,Y,Davidson,2024,59,55-59,1984,40
47,OR06,87847.88,10964,Utility Envir Comp Officer 3,Water Services,Fulltime,Professionals,M,White,1961,1984-09-24,N,Davidson,2024,63,60-64,1984,40
50,TS16,89437.11,7786,Indust Maint Supv 2,Water Services,Fulltime,Technicians,M,White,1965,1984-12-03,Y,Davidson,2024,59,55-59,1984,40
51,OR08,108513.28,7234,Information Systems Advisor 1,Police,Fulltime,Officials and administrators,M,White,1958,1984-12-16,Y,Davidson,2024,66,65-69,1984,40
52,OR05,87656.13,7245,Admin Svcs Officer 4,General Services,Fulltime,Professionals,F,White,1942,1985-02-17,Y,Davidson,2024,82,80-84,1985,39
53,TL11,60671.62,10847,Maintenance & Repair Leader,Parks,Fulltime,Service/Maintenance,M,Black,1966,1985-04-01,N,Davidson,2024,58,55-59,1985,39
54,OR05,78190.78,7245,Admin Svcs Officer 4,Fire,Fulltime,Professionals,F,White,1963,1985-04-01,Y,Davidson,2024,61,60-64,1985,39
58,NS,103565.0,10816,Satellite position,Register of Deeds,Fulltime,Professionals,M,White,1960,1985-05-01,Y,Davidson,2024,64,60-64,1985,39
59,OR13,181539.18,7420,Water Svcs Asst Dir,Water Services,Fulltime,Officials and administrators,M,White,1962,1985-05-01,Y,Davidson,2024,62,60-64,1985,39
62,OR05,87656.13,5495,Probation Officer 3,General Sessions Court,Fulltime,Professionals,F,White,1962,1985-05-16,Y,Davidson,2024,62,60-64,1985,39
63,OR12,152631.83,10867,Assistant Public Defender 4,Public Defender,Fulltime,Professionals,F,White,1960,1985-06-01,Y,Davidson,2024,64,60-64,1985,39
65,OR13,151406.03,6553,Parks & Recreation Asst Dir,Parks,Fulltime,Officials and administrators,M,White,1960,1985-06-16,Y,Davidson,2024,64,60-64,1985,39
66,ST11,71593.99,6598,Cust Svc Supv,Water Services,Fulltime,Administrative support,F,Black,1961,1985-07-01,Y,Davidson,2024,63,60-64,1985,39
67,FD08B,118336.65,440,Fire Marshal-Dpty,Fire,Fulltime,Officials and administrators,F,Black,1957,1985-08-16,Y,Davidson,2024,67,65-69,1985,39
68,OR04,79774.33,7756,Technical Specialist 1,General Services,Fulltime,Professionals,M,White,1965,1985-09-03,Y,Davidson,2024,59,55-59,1985,39
71,FD07,104534.05,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1963,1985-10-01,N,Davidson,2024,61,60-64,1985,39
78,OR05,87656.13,6882,Police Crisis Counseling Supv,Police,Fulltime,Professionals,F,White,1955,1985-12-01,Y,Davidson,2024,69,65-69,1985,39
79,FD11A,150130.8,10712,Fire Commander,Fire,Fulltime,Officials and administrators,M,White,1964,1985-12-01,Y,Davidson,2024,60,60-64,1985,39
82,OR10,146301.52,6531,Human Resources Mgr,General Sessions Court,Fulltime,Officials and administrators,F,White,1963,1986-01-02,Y,Davidson,2024,61,60-64,1986,38
83,OR06,84542.59,10964,Utility Envir Comp Officer 3,Water Services,Fulltime,Professionals,M,White,1960,1986-01-20,N,Davidson,2024,64,60-64,1986,38
86,PS03A,86356.69,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1956,1986-03-01,N,Davidson,2024,68,65-69,1986,38
87,ST09,65588.44,6801,Aquatics Coord,Parks,Fulltime,Professionals,M,Black,1961,1986-03-17,Y,Davidson,2024,63,60-64,1986,38
88,OR10,141500.4,7407,Information Systems Advisor 2,Water Services,Fulltime,Officials and administrators,F,White,1967,1986-04-01,Y,Davidson,2024,57,55-59,1986,38
93,FD09,115752.82,1686,Fire District Chief,Fire,Fulltime,Professionals,M,Black,1956,1986-04-16,N,Davidson,2024,68,65-69,1986,38
95,FD07,104534.05,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1963,1986-04-16,N,Davidson,2024,61,60-64,1986,38
97,TL11,60671.62,10847,Maintenance & Repair Leader,Parks,Fulltime,Service/Maintenance,M,Hispanic,1965,1986-04-24,N,Davidson,2024,59,55-59,1986,38
98,OR10,143912.45,7407,Information Systems Advisor 2,Information Technology Services,Fulltime,Officials and administrators,M,White,1964,1986-05-12,Y,Davidson,2024,60,60-64,1986,38
99,TG12,52541.83,10838,Equipment Operator Senior,Parks,Fulltime,Service/Maintenance,M,Black,1967,1986-05-12,N,Davidson,2024,57,55-59,1986,38
100,ST10,68730.34,10836,Engineer Technician Senior,NDOT,Fulltime,Technicians,F,Black,1964,1986-05-16,N,Davidson,2024,60,60-64,1986,38
101,OR05,69448.27,7245,Admin Svcs Officer 4,Police,Fulltime,Professionals,F,Black,1956,1986-06-01,Y,Davidson,2024,68,65-69,1986,38
105,ST11,71593.99,7720,Admin Spec,General Sessions Court,Fulltime,Administrative support,F,Black,1965,1986-06-23,N,Davidson,2024,59,55-59,1986,38
106,TL11,60671.62,10847,Maintenance & Repair Leader,Parks,Fulltime,Service/Maintenance,M,Black,1966,1986-06-24,N,Davidson,2024,58,55-59,1986,38
107,OR08,116611.02,10637,Sheriff SORT Commander,Sheriff,Fulltime,Protective service workers,M,White,1958,1986-07-01,Y,Davidson,2024,66,65-69,1986,38
108,OR07,109120.44,10486,Water Services Security Mgr,Water Services,Fulltime,Officials and administrators,M,Black,1959,1986-07-14,Y,Davidson,2024,65,65-69,1986,38
113,FD03,76225.4,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,M,White,1957,1986-08-01,N,Davidson,2024,67,65-69,1986,38
114,ST08,60144.59,10834,Customer Service Field Rep Sen,Water Services,Fulltime,Service/Maintenance,M,White,1962,1986-08-16,N,Davidson,2024,62,60-64,1986,38
116,OR06,100059.21,7757,Technical Specialist 2,NDOT,Fulltime,Professionals,M,White,1964,1986-08-16,Y,Davidson,2024,60,60-64,1986,38
117,ST09,63906.71,7732,Compliance Inspector 2,NDOT,Fulltime,Officials and administrators,M,Black,1966,1986-08-18,N,Davidson,2024,58,55-59,1986,38
118,ST09,63906.71,10392,Administrative Asst - Health,Health,Fulltime,Administrative support,F,White,1968,1986-08-21,N,Davidson,2024,56,55-59,1986,38
119,ST07,55152.6,6880,Recreation Leader,Parks,Fulltime,Paraprofessionals,F,White,1963,1986-08-25,N,Davidson,2024,61,60-64,1986,38
121,NS,80724.77,10816,Satellite position,Register of Deeds,Fulltime,Professionals,F,White,1965,1986-09-01,Y,Davidson,2024,59,55-59,1986,38
122,FD09A,130280.83,1686,Fire District Chief,Fire,Fulltime,Professionals,M,White,1963,1986-10-16,Y,Davidson,2024,61,60-64,1986,38
128,PS03,83841.45,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1966,1986-11-16,N,Davidson,2024,58,55-59,1986,38
129,ST11,75684.16,6598,Cust Svc Supv,Water Services,Fulltime,Administrative support,F,White,1960,1986-11-16,Y,Davidson,2024,64,60-64,1986,38
130,OR04,79774.33,7756,Technical Specialist 1,Water Services,Fulltime,Professionals,M,White,1966,1986-11-17,N,Davidson,2024,58,55-59,1986,38
132,ST08,60144.59,10124,Office Support Spec 2,Water Services,Fulltime,Administrative support,M,White,1963,1987-02-01,N,Davidson,2024,61,60-64,1987,37
134,ST08,60144.59,10835,Engineer Technician,Water Services,Fulltime,Technicians,M,White,1967,1987-03-02,N,Davidson,2024,57,55-59,1987,37
138,OR03,67898.52,7244,Admin Svcs Officer 3,Fire,Fulltime,Professionals,F,Black,1963,1987-04-01,N,Davidson,2024,61,60-64,1987,37
139,ET06,93862.96,10412,Emer Telecommunications Superv,Emergency Communications,Fulltime,Administrative support,F,White,1962,1987-04-01,N,Davidson,2024,62,60-64,1987,37
140,ST10,72445.0,11031,Housing Assignment Spec-DCSO,Sheriff,Fulltime,Professionals,M,White,1966,1987-04-16,N,Davidson,2024,58,55-59,1987,37
142,FD05B,87320.68,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1962,1987-05-01,N,Davidson,2024,62,60-64,1987,37
143,ST08,57060.32,7419,Warrant Officer 1,Circuit Court Clerk,Fulltime,Protective service workers,M,White,1962,1987-05-14,N,Davidson,2024,62,60-64,1987,37
145,FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1962,1987-06-16,N,Davidson,2024,62,60-64,1987,37
148,FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1957,1987-06-16,N,Davidson,2024,67,65-69,1987,37
150,FD07A,107670.09,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1965,1987-06-16,N,Davidson,2024,59,55-59,1987,37
151,ST09,65588.44,10645,Court Referral Counselor,Sheriff,Fulltime,Professionals,F,Black,1965,1987-06-16,N,Davidson,2024,59,55-59,1987,37
152,OR13,183543.57,7420,Water Svcs Asst Dir,Water Services,Fulltime,Officials and administrators,M,Black,1959,1987-07-01,Y,Davidson,2024,65,65-69,1987,37
153,OR05,79867.02,7245,Admin Svcs Officer 4,Codes Administration,Fulltime,Professionals,F,White,1966,1987-07-13,Y,Davidson,2024,58,55-59,1987,37
154,OR03,74618.35,7244,Admin Svcs Officer 3,Trustee,Fulltime,Professionals,F,White,1961,1987-07-15,N,Davidson,2024,63,60-64,1987,37
155,ST10,68730.34,10892,Victim Advocate 2,District Attorney,Fulltime,Professionals,F,Black,1960,1987-08-24,Y,Davidson,2024,64,60-64,1987,37
156,ST08,60144.59,10124,Office Support Spec 2,Water Services,Fulltime,Administrative support,F,White,1961,1987-08-28,N,Davidson,2024,63,60-64,1987,37
157,OR10,112634.56,6232,Finance Mgr,County Clerk,Fulltime,Officials and administrators,F,Black,1963,1987-09-01,N,Davidson,2024,61,60-64,1987,37
158,OR13,183169.04,11302,Chief of Operations-DCSO,Sheriff,Fulltime,Officials and administrators,M,White,1968,1987-09-01,Y,Davidson,2024,56,55-59,1987,37
159,ST11,65458.76,10556,Facilities Maint Specialist,Health,Fulltime,Service/Maintenance,M,Black,1965,1987-09-28,N,Davidson,2024,59,55-59,1987,37
161,OR09,134683.65,10888,Operations Manager,Juvenile Court Clerk,Fulltime,Officials and administrators,M,Black,1965,1987-12-01,Y,Davidson,2024,59,55-59,1987,37
162,TS10,69057.91,7327,Maint & Repair Supv,Public Library,Fulltime,Service/Maintenance,M,White,1968,1988-01-04,Y,Davidson,2024,56,55-59,1988,36
163,ST10,72445.0,7730,CAD/GIS Analyst 2,Water Services,Fulltime,Technicians,M,White,1965,1988-02-01,N,Davidson,2024,59,55-59,1988,36
165,OR07,113468.17,7242,Admin Svcs Mgr,General Services,Fulltime,Officials and administrators,M,White,1962,1988-02-16,Y,Davidson,2024,62,60-64,1988,36
166,OR05,69448.27,10153,Finance Spec,Health,Fulltime,Professionals,F,Black,1959,1988-02-16,N,Davidson,2024,65,65-69,1988,36
174,NS,101101.04,6502,Deputy Criminal Ct Clerk 1,Criminal Court Clerk,Fulltime,Administrative support,M,White,1963,1988-05-02,Y,Davidson,2024,61,60-64,1988,36
175,OR03,70709.56,7244,Admin Svcs Officer 3,Water Services,Fulltime,Professionals,F,Black,1969,1988-05-02,N,Davidson,2024,55,55-59,1988,36
177,OR13,154182.26,7420,Water Svcs Asst Dir,Water Services,Fulltime,Officials and administrators,F,White,1970,1988-05-23,Y,Davidson,2024,54,50-54,1988,36
178,NS,142031.52,10816,Satellite position,Circuit Court Satellite,Fulltime,Professionals,F,White,1969,1988-06-06,Y,Davidson,2024,55,55-59,1988,36
180,OR07,102915.12,7242,Admin Svcs Mgr,Fire,Fulltime,Officials and administrators,F,White,1964,1988-06-16,Y,Davidson,2024,60,60-64,1988,36
181,TG09,48883.54,10849,Maintenance & Repair Worker Se,Water Services,Fulltime,Service/Maintenance,M,White,1966,1988-06-20,N,Davidson,2024,58,55-59,1988,36
182,OR09,94883.83,11207,Water Services Manager,Water Services,Fulltime,Professionals,M,Black,1965,1988-06-20,Y,Davidson,2024,59,55-59,1988,36
184,OR07,101802.68,11272,Transportation Superintendent,NDOT,Fulltime,Officials and administrators,M,Black,1966,1988-08-26,Y,Davidson,2024,58,55-59,1988,36
186,FD07,104534.05,7305,Fire Captain,Fire,Fulltime,Professionals,M,Black,1958,1988-09-01,N,Davidson,2024,66,65-69,1988,36
187,FD11A,142808.86,10712,Fire Commander,Fire,Fulltime,Officials and administrators,M,White,1963,1988-09-01,Y,Davidson,2024,61,60-64,1988,36
188,FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1963,1988-09-01,N,Davidson,2024,61,60-64,1988,36
189,FD09,122802.16,1686,Fire District Chief,Fire,Fulltime,Professionals,M,White,1965,1988-09-01,Y,Davidson,2024,59,55-59,1988,36
192,FD07,104534.05,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1965,1988-09-01,N,Davidson,2024,59,55-59,1988,36
194,OR05,87656.13,7245,Admin Svcs Officer 4,Human Resources,Fulltime,Professionals,F,White,1962,1988-09-26,Y,Davidson,2024,62,60-64,1988,36
195,ST09,57179.85,7768,Circulation Supv,Public Library,Fulltime,Paraprofessionals,F,Black,1961,1988-10-01,N,Davidson,2024,63,60-64,1988,36
199,OR03,72445.0,7380,Program Spec 3,Health,Fulltime,Professionals,F,Black,1951,1988-11-01,N,Davidson,2024,73,70-74,1988,36
201,OR11,124512.47,10887,Information Systems Advisor 3,Emergency Communications,Fulltime,Officials and administrators,M,White,1967,1988-11-01,Y,Davidson,2024,57,55-59,1988,36
202,OR05,84029.66,10742,Health Manager 1,Health,Fulltime,Professionals,F,Black,1958,1988-11-16,Y,Davidson,2024,66,65-69,1988,36
203,OR06,91056.44,7265,Info Sys Comm Analyst 3,Information Technology Services,Fulltime,Professionals,M,White,1965,1988-11-16,Y,Davidson,2024,59,55-59,1988,36
204,TS16,89437.11,11208,Water Services Superintendent,Water Services,Fulltime,Professionals,M,Black,1967,1988-11-28,Y,Davidson,2024,57,55-59,1988,36
205,OR06,100059.21,7757,Technical Specialist 2,Water Services,Fulltime,Professionals,M,Black,1960,1988-12-01,N,Davidson,2024,64,60-64,1988,36
206,ST09,65588.44,7241,Admin Asst,Juvenile Court,Fulltime,Administrative support,F,White,1960,1988-12-16,N,Davidson,2024,64,60-64,1988,36
207,ST09,63906.71,7241,Admin Asst,Water Services,Fulltime,Administrative support,F,Black,1960,1989-01-16,N,Davidson,2024,64,60-64,1989,35
209,ST09,63906.71,10103,Application Tech 3,Water Services,Fulltime,Administrative support,M,White,1961,1989-01-16,N,Davidson,2024,63,60-64,1989,35
210,OR05,69086.42,7245,Admin Svcs Officer 4,County Clerk,Fulltime,Professionals,F,White,1964,1989-02-21,N,Davidson,2024,60,60-64,1989,35
212,CO02,65015.7,6981,Correctional Officer 2,Sheriff,Fulltime,Protective service workers,M,Black,1966,1989-03-27,N,Davidson,2024,58,55-59,1989,35
216,ST10,70587.67,10955,Utility Compliance Inp 2,Water Services,Fulltime,Technicians,M,Black,1969,1989-05-30,N,Davidson,2024,55,55-59,1989,35
218,NS,62111.76,10816,Satellite position,Circuit Court Satellite,Fulltime,Professionals,F,White,1958,1989-08-01,N,Davidson,2024,66,65-69,1989,35
219,ST11,73639.07,6686,Sheriff Warrant Officer 2,Sheriff,Fulltime,Protective service workers,M,Black,1964,1989-08-01,N,Davidson,2024,60,60-64,1989,35
221,ST11,69548.92,6598,Cust Svc Supv,Water Services,Fulltime,Administrative support,F,White,1968,1989-09-16,N,Davidson,2024,56,55-59,1989,35
223,OR04,79774.33,7756,Technical Specialist 1,Water Services,Fulltime,Professionals,M,White,1966,1989-10-16,N,Davidson,2024,58,55-59,1989,35
225,ST09,62224.99,7241,Admin Asst,Circuit Court Clerk,Fulltime,Administrative support,F,Black,1964,1989-11-01,N,Davidson,2024,60,60-64,1989,35
226,MAC01,54087.04,10250,Teacher Asst,Metro Action Commission,Fulltime,Administrative support,F,Black,1958,1989-11-06,N,Davidson,2024,66,65-69,1989,35
229,OR04,68034.35,6116,Appraiser Analyst 3,Assessor of Property,Fulltime,Professionals,F,White,1968,1990-01-01,N,Davidson,2024,56,55-59,1990,34
231,NS,72185.04,10816,Satellite position,Circuit Court Satellite,Fulltime,Professionals,M,White,1965,1990-01-22,N,Davidson,2024,59,55-59,1990,34
232,TS16,86832.15,11208,Water Services Superintendent,Water Services,Fulltime,Professionals,M,Black,1963,1990-02-01,Y,Davidson,2024,61,60-64,1990,34
233,OR03,65125.76,7244,Admin Svcs Officer 3,Water Services,Fulltime,Professionals,F,Black,1960,1990-02-16,N,Davidson,2024,64,60-64,1990,34
234,ST08,58602.46,10124,Office Support Spec 2,Water Services,Fulltime,Administrative support,F,Black,1963,1990-02-16,N,Davidson,2024,61,60-64,1990,34
235,OR06,92994.37,7783,Info Systems App Analyst 3,Water Services,Fulltime,Professionals,F,White,1960,1990-03-01,Y,Davidson,2024,64,60-64,1990,34
245,OR07,109179.06,7242,Admin Svcs Mgr,District Attorney,Fulltime,Officials and administrators,M,Black,1961,1990-06-01,Y,Davidson,2024,63,60-64,1990,34
246,OR10,125758.61,7407,Information Systems Advisor 2,Information Technology Services,Fulltime,Officials and administrators,M,White,1971,1990-06-04,Y,Davidson,2024,53,50-54,1990,34
247,OR13,183543.57,7420,Water Svcs Asst Dir,Water Services,Fulltime,Officials and administrators,M,Hispanic,1965,1990-06-16,Y,Davidson,2024,59,55-59,1990,34
248,OR03,72445.0,7244,Admin Svcs Officer 3,Water Services,Fulltime,Professionals,F,Black,1957,1990-07-01,N,Davidson,2024,67,65-69,1990,34
249,OR04,79774.33,11215,Enviromental Health Specialist Sr,Health,Fulltime,Professionals,F,Black,1965,1990-08-13,N,Davidson,2024,59,55-59,1990,34
250,ST11,79774.33,7720,Admin Spec,District Attorney,Fulltime,Administrative support,F,White,1958,1990-08-15,Y,Davidson,2024,66,65-69,1990,34
251,OR04,75575.27,6116,Appraiser Analyst 3,Assessor of Property,Fulltime,Professionals,M,Black,1958,1990-08-16,N,Davidson,2024,66,65-69,1990,34
256,ST11,63413.67,7720,Admin Spec,Assessor of Property,Fulltime,Administrative support,F,White,1971,1990-09-16,N,Davidson,2024,53,50-54,1990,34
257,OR10,146898.9,7782,Info Systems Mgr,Assessor of Property,Fulltime,Officials and administrators,M,White,1961,1990-10-01,Y,Davidson,2024,63,60-64,1990,34
260,OR04,74618.35,10963,Utility Envir Comp Officer 2,Water Services,Fulltime,Professionals,F,Black,1954,1990-12-01,N,Davidson,2024,70,70-74,1990,34
261,OR03,66900.21,11250,Accounts Payable Specialist 2,Finance,Fulltime,Technicians,M,Black,1965,1990-12-16,N,Davidson,2024,59,55-59,1990,34
262,NS,30000.0,390,Asst District Attorney,District Attorney,Fulltime,Professionals,M,White,1952,1991-01-01,Y,Davidson,2024,72,70-74,1991,33
263,OR06,84445.8,7757,Technical Specialist 2,Water Services,Fulltime,Professionals,M,Black,1964,1991-01-14,Y,Davidson,2024,60,60-64,1991,33
265,FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1969,1991-02-01,N,Davidson,2024,55,55-59,1991,33
267,FD07,104534.05,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1969,1991-02-01,N,Davidson,2024,55,55-59,1991,33
269,PS03,83841.46,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,Black,1960,1991-02-01,N,Davidson,2024,64,60-64,1991,33
270,FD07,104534.05,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1964,1991-02-01,N,Davidson,2024,60,60-64,1991,33
274,FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1969,1991-02-01,N,Davidson,2024,55,55-59,1991,33
275,OR13,174711.04,6004,Human Resources Asst Dir,Human Resources,Fulltime,Officials and administrators,F,White,1968,1991-02-01,Y,Davidson,2024,56,55-59,1991,33
276,FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1964,1991-02-01,N,Davidson,2024,60,60-64,1991,33
277,FD09,115752.82,1686,Fire District Chief,Fire,Fulltime,Professionals,M,White,1964,1991-02-01,N,Davidson,2024,60,60-64,1991,33
278,FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1962,1991-02-01,N,Davidson,2024,62,60-64,1991,33
279,FD07B,110806.11,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1963,1991-02-01,N,Davidson,2024,61,60-64,1991,33
282,FD07A,107670.09,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1968,1991-02-01,N,Davidson,2024,56,55-59,1991,33
284,FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1962,1991-02-01,N,Davidson,2024,62,60-64,1991,33
285,FD07A,107670.09,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1962,1991-02-01,N,Davidson,2024,62,60-64,1991,33
286,OR05,86448.43,7245,Admin Svcs Officer 4,Assessor of Property,Fulltime,Professionals,F,White,1964,1991-02-01,N,Davidson,2024,60,60-64,1991,33
287,ST08,60144.59,220,Specialized Skills Instr,Parks,Fulltime,Professionals,M,Black,1961,1991-02-13,Y,Davidson,2024,63,60-64,1991,33
288,OR03,72445.0,5923,Special Programs Coord,Parks,Fulltime,Professionals,M,White,1971,1991-03-15,Y,Davidson,2024,53,50-54,1991,33
289,ST07,55152.6,10123,Office Support Spec 1,Health,Fulltime,Administrative support,F,Two or more,1964,1991-05-01,N,Davidson,2024,60,60-64,1991,33
290,OR04,74533.69,7753,Professional Spec,Public Defender,Fulltime,Professionals,F,Black,1964,1991-05-16,Y,Davidson,2024,60,60-64,1991,33
291,TS13,75282.48,6188,Treatment Plant Shift Operator,Water Services,Fulltime,Skilled craft workers,M,White,1965,1991-05-20,N,Davidson,2024,59,55-59,1991,33
292,OR06,78846.62,7757,Technical Specialist 2,Water Services,Fulltime,Professionals,M,Black,1967,1991-05-20,Y,Davidson,2024,57,55-59,1991,33
293,ST09,65588.44,451,Golf Course Asst Mgr,Parks,Fulltime,Professionals,M,White,1972,1991-05-28,Y,Davidson,2024,52,50-54,1991,33
295,ST08,55518.19,11183,Library Associate,Public Library,Fulltime,Paraprofessionals,F,White,1967,1991-07-01,N,Davidson,2024,57,55-59,1991,33
298,ST07,55152.6,7711,Sheriff Prisoner Processor 1,Sheriff,Fulltime,Administrative support,F,Black,1963,1991-08-01,N,Davidson,2024,61,60-64,1991,33
305,OR05,82167.56,7144,Sheriff Warrant Officer 3,Sheriff,Fulltime,Protective service workers,M,Black,1964,1991-08-01,Y,Davidson,2024,60,60-64,1991,33
306,RD01,63228.89,10746,WO Data Entry Specialist-DCSO,Sheriff,Fulltime,Administrative support,F,Black,1962,1991-08-01,N,Davidson,2024,62,60-64,1991,33
308,FD07,104534.05,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1970,1991-08-16,N,Davidson,2024,54,50-54,1991,33
