Pay Grade / Step,Annual Salary,Class,Title,Current Department,Employment Status,EEO Job Category Description,Gender,Ethnic Code Description,Year of Birth,Date Started,FLSA Exempt?,County,Current_Year,Age,Age_Group,Started_Year,Year_Of_Service
FD09,126486.22,1686,Fire District Chief,Fire,Fulltime,Professionals,M,White,1962,1985-10-01,Y,Sumner,2024,62,60-64,1985,39
FD05A,92717.17,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1961,1985-10-01,N,Williamson,2024,63,60-64,1985,39
FD07,104534.05,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1963,1985-10-01,N,Davidson,2024,61,60-64,1985,39
OR11,158104.95,11158,DCSO Employee Services Director,Sheriff,Fulltime,Officials and administrators,M,White,1966,1985-10-01,Y,Wilson,2024,58,55-59,1985,39
FD09,115752.82,1686,Fire District Chief,Fire,Fulltime,Professionals,M,White,1963,1985-10-01,N,Cheatham,2024,61,60-64,1985,39
FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1960,1985-10-01,N,Williamson,2024,64,60-64,1985,39
ST09,62224.99,10330,Security Guard - Health,Health,Fulltime,Protective service workers,M,White,1964,1985-10-03,N,Cheatham,2024,60,60-64,1985,39
OR08,116852.16,7234,Information Systems Advisor 1,Police,Fulltime,Officials and administrators,M,White,1958,1985-11-01,Y,Sumner,2024,66,65-69,1985,39
FD03,76225.4,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,M,Black,1962,1985-12-01,N,Rutherford,2024,62,60-64,1985,39
OR05,87656.13,6882,Police Crisis Counseling Supv,Police,Fulltime,Professionals,F,White,1955,1985-12-01,Y,Davidson,2024,69,65-69,1985,39
FD11A,150130.8,10712,Fire Commander,Fire,Fulltime,Officials and administrators,M,White,1964,1985-12-01,Y,Davidson,2024,60,60-64,1985,39
OR07,87656.13,7242,Admin Svcs Mgr,Law,Fulltime,Officials and administrators,F,White,1956,1985-12-10,Y,Dickson,2024,68,65-69,1985,39
OR07,96421.74,7242,Admin Svcs Mgr,Water Services,Fulltime,Officials and administrators,F,White,1964,1985-12-16,Y,Sumner,2024,60,60-64,1985,39
OR10,146301.52,6531,Human Resources Mgr,General Sessions Court,Fulltime,Officials and administrators,F,White,1963,1986-01-02,Y,Davidson,2024,61,60-64,1986,38
OR06,84542.59,10964,Utility Envir Comp Officer 3,Water Services,Fulltime,Professionals,M,White,1960,1986-01-20,N,Davidson,2024,64,60-64,1986,38
OR03,72445.0,7244,Admin Svcs Officer 3,Water Services,Fulltime,Professionals,M,White,1962,1986-02-01,Y,Sumner,2024,62,60-64,1986,38
OR06,100059.21,7757,Technical Specialist 2,Water Services,Fulltime,Professionals,M,White,1963,1986-02-01,N,Rutherford,2024,61,60-64,1986,38
PS03A,86356.69,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1956,1986-03-01,N,Davidson,2024,68,65-69,1986,38
ST09,65588.44,6801,Aquatics Coord,Parks,Fulltime,Professionals,M,Black,1961,1986-03-17,Y,Davidson,2024,63,60-64,1986,38
OR10,141500.4,7407,Information Systems Advisor 2,Water Services,Fulltime,Officials and administrators,F,White,1967,1986-04-01,Y,Davidson,2024,57,55-59,1986,38
OR11,178197.64,7762,Special Projects Mgr,Water Services,Fulltime,Officials and administrators,M,White,1959,1986-04-01,Y,Sumner,2024,65,65-69,1986,38
OR05,86380.42,7245,Admin Svcs Officer 4,NDOT,Fulltime,Professionals,F,White,1964,1986-04-01,Y,Rutherford,2024,60,60-64,1986,38
TS10,69057.91,7327,Maint & Repair Supv,Parks,Fulltime,Service/Maintenance,M,White,1963,1986-04-04,Y,Williamson,2024,61,60-64,1986,38
FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1965,1986-04-16,N,Wilson,2024,59,55-59,1986,38
FD09,115752.82,1686,Fire District Chief,Fire,Fulltime,Professionals,M,Black,1956,1986-04-16,N,Davidson,2024,68,65-69,1986,38
FD12,185543.79,10711,Fire Services Deputy Director,Fire,Fulltime,Officials and administrators,M,White,1964,1986-04-16,Y,Cheatham,2024,60,60-64,1986,38
FD07,104534.05,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1963,1986-04-16,N,Davidson,2024,61,60-64,1986,38
TS10,69057.91,7327,Maint & Repair Supv,NDOT,Fulltime,Service/Maintenance,M,White,1965,1986-04-21,N,Rutherford,2024,59,55-59,1986,38
TL11,60671.62,10847,Maintenance & Repair Leader,Parks,Fulltime,Service/Maintenance,M,Hispanic,1965,1986-04-24,N,Davidson,2024,59,55-59,1986,38
OR10,143912.45,7407,Information Systems Advisor 2,Information Technology Services,Fulltime,Officials and administrators,M,White,1964,1986-05-12,Y,Davidson,2024,60,60-64,1986,38
TG12,52541.83,10838,Equipment Operator Senior,Parks,Fulltime,Service/Maintenance,M,Black,1967,1986-05-12,N,Davidson,2024,57,55-59,1986,38
ST10,68730.34,10836,Engineer Technician Senior,NDOT,Fulltime,Technicians,F,Black,1964,1986-05-16,N,Davidson,2024,60,60-64,1986,38
OR05,69448.27,7245,Admin Svcs Officer 4,Police,Fulltime,Professionals,F,Black,1956,1986-06-01,Y,Davidson,2024,68,65-69,1986,38
ST08,60144.59,10124,Office Support Spec 2,Water Services,Fulltime,Administrative support,F,Black,1964,1986-06-01,N,Robertson,2024,60,60-64,1986,38
OR08,106360.34,10108,Finance Admin,Water Services,Fulltime,Officials and administrators,F,White,1967,1986-06-16,Y,Sumner,2024,57,55-59,1986,38
ST11,75684.16,7720,Admin Spec,Police,Fulltime,Administrative support,F,White,1964,1986-06-16,N,Sumner,2024,60,60-64,1986,38
ST11,71593.99,7720,Admin Spec,General Sessions Court,Fulltime,Administrative support,F,Black,1965,1986-06-23,N,Davidson,2024,59,55-59,1986,38
TL11,60671.62,10847,Maintenance & Repair Leader,Parks,Fulltime,Service/Maintenance,M,Black,1966,1986-06-24,N,Davidson,2024,58,55-59,1986,38
OR08,116611.02,10637,Sheriff SORT Commander,Sheriff,Fulltime,Protective service workers,M,White,1958,1986-07-01,Y,Davidson,2024,66,65-69,1986,38
OR07,109120.44,10486,Water Services Security Mgr,Water Services,Fulltime,Officials and administrators,M,Black,1959,1986-07-14,Y,Davidson,2024,65,65-69,1986,38
TS10,69057.91,11204,Water Services Maint Supv 1,Water Services,Fulltime,Technicians,M,White,1960,1986-07-14,Y,Rutherford,2024,64,60-64,1986,38
ST08,58602.46,10957,Utility Compliance Insp 1,Water Services,Fulltime,Technicians,M,Black,1964,1986-07-14,N,Montgomery,2024,60,60-64,1986,38
ST09,65588.44,7697,Corrections Spec 2,Sheriff,Fulltime,Administrative support,M,White,1964,1986-07-16,N,Sumner,2024,60,60-64,1986,38
FD07A,104534.07,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1963,1986-08-01,N,Robertson,2024,61,60-64,1986,38
FD03,76225.4,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,M,White,1957,1986-08-01,N,Davidson,2024,67,65-69,1986,38
ST08,60144.59,10834,Customer Service Field Rep Sen,Water Services,Fulltime,Service/Maintenance,M,White,1962,1986-08-16,N,Davidson,2024,62,60-64,1986,38
ST10,72445.0,10961,Utility Engineer Tech Sr,Water Services,Fulltime,Technicians,M,White,1958,1986-08-16,N,Rutherford,2024,66,65-69,1986,38
OR06,100059.21,7757,Technical Specialist 2,NDOT,Fulltime,Professionals,M,White,1964,1986-08-16,Y,Davidson,2024,60,60-64,1986,38
ST09,63906.71,7732,Compliance Inspector 2,NDOT,Fulltime,Officials and administrators,M,Black,1966,1986-08-18,N,Davidson,2024,58,55-59,1986,38
ST09,63906.71,10392,Administrative Asst - Health,Health,Fulltime,Administrative support,F,White,1968,1986-08-21,N,Davidson,2024,56,55-59,1986,38
ST07,55152.6,6880,Recreation Leader,Parks,Fulltime,Paraprofessionals,F,White,1963,1986-08-25,N,Davidson,2024,61,60-64,1986,38
FD10,118641.86,11087,Fire Operations Chief,Fire,Fulltime,Service/Maintenance,M,White,1961,1986-09-01,Y,Wilson,2024,63,60-64,1986,38
NS,80724.77,10816,Satellite position,Register of Deeds,Fulltime,Professionals,F,White,1965,1986-09-01,Y,Davidson,2024,59,55-59,1986,38
FD09A,130280.83,1686,Fire District Chief,Fire,Fulltime,Professionals,M,White,1963,1986-10-16,Y,Davidson,2024,61,60-64,1986,38
FD09A,126486.24,1686,Fire District Chief,Fire,Fulltime,Professionals,M,White,1965,1986-10-16,Y,Robertson,2024,59,55-59,1986,38
ST11,79774.33,7421,Zoning Examiner,Codes Administration,Fulltime,Officials and administrators,M,White,1964,1986-10-16,N,Sumner,2024,60,60-64,1986,38
FD10B,145790.74,430,Fire Asst Chief,Fire,Fulltime,Professionals,M,White,1964,1986-10-16,Y,Williamson,2024,60,60-64,1986,38
OR07,89766.67,11206,Water Services Asst Manager,Water Services,Fulltime,Professionals,F,White,1964,1986-11-01,Y,Sumner,2024,60,60-64,1986,38
FD07,104534.05,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1961,1986-11-01,N,Rutherford,2024,63,60-64,1986,38
PS03,83841.45,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1966,1986-11-16,N,Davidson,2024,58,55-59,1986,38
ST11,75684.16,6598,Cust Svc Supv,Water Services,Fulltime,Administrative support,F,White,1960,1986-11-16,Y,Davidson,2024,64,60-64,1986,38
OR04,79774.33,7756,Technical Specialist 1,Water Services,Fulltime,Professionals,M,White,1966,1986-11-17,N,Davidson,2024,58,55-59,1986,38
TS16,84303.05,7803,Treatment Plant Shift Supv,Water Services,Fulltime,Skilled craft workers,M,Black,1965,1986-12-15,Y,Sumner,2024,59,55-59,1986,38
ST08,60144.59,10124,Office Support Spec 2,Water Services,Fulltime,Administrative support,M,White,1963,1987-02-01,N,Davidson,2024,61,60-64,1987,37
OR10,155148.25,6232,Finance Mgr,General Services,Fulltime,Officials and administrators,F,White,1964,1987-03-01,Y,Robertson,2024,60,60-64,1987,37
ST08,60144.59,10835,Engineer Technician,Water Services,Fulltime,Technicians,M,White,1967,1987-03-02,N,Davidson,2024,57,55-59,1987,37
TL11,60671.62,10847,Maintenance & Repair Leader,Parks,Fulltime,Service/Maintenance,M,White,1965,1987-03-13,N,Robertson,2024,59,55-59,1987,37
OR08,111343.94,3750,Envir Laboratory Mgr,Water Services,Fulltime,Officials and administrators,M,White,1962,1987-03-16,Y,Rutherford,2024,62,60-64,1987,37
ST08,60144.59,11274,Utility Customer Care Agent 2,Water Services,Fulltime,Technicians,M,White,1960,1987-04-01,N,Rutherford,2024,64,60-64,1987,37
OR03,67898.52,7244,Admin Svcs Officer 3,Fire,Fulltime,Professionals,F,Black,1963,1987-04-01,N,Davidson,2024,61,60-64,1987,37
ET06,93862.96,10412,Emer Telecommunications Superv,Emergency Communications,Fulltime,Administrative support,F,White,1962,1987-04-01,N,Davidson,2024,62,60-64,1987,37
ST10,72445.0,11031,Housing Assignment Spec-DCSO,Sheriff,Fulltime,Professionals,M,White,1966,1987-04-16,N,Davidson,2024,58,55-59,1987,37
FD10A,137538.42,11087,Fire Operations Chief,Fire,Fulltime,Service/Maintenance,M,White,1963,1987-05-01,Y,Wilson,2024,61,60-64,1987,37
FD05B,87320.68,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1962,1987-05-01,N,Davidson,2024,62,60-64,1987,37
ST08,57060.32,7419,Warrant Officer 1,Circuit Court Clerk,Fulltime,Protective service workers,M,White,1962,1987-05-14,N,Davidson,2024,62,60-64,1987,37
OR07,104339.7,6247,Parks & Recreation Supt,Parks,Fulltime,Officials and administrators,M,White,1963,1987-05-26,Y,Rutherford,2024,61,60-64,1987,37
FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1962,1987-06-16,N,Davidson,2024,62,60-64,1987,37
FD07,104534.05,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1964,1987-06-16,N,Sumner,2024,60,60-64,1987,37
FD07,104534.05,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1962,1987-06-16,N,Cheatham,2024,62,60-64,1987,37
FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1957,1987-06-16,N,Davidson,2024,67,65-69,1987,37
FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1961,1987-06-16,N,Sumner,2024,63,60-64,1987,37
FD07A,107670.09,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1965,1987-06-16,N,Davidson,2024,59,55-59,1987,37
ST09,65588.44,10645,Court Referral Counselor,Sheriff,Fulltime,Professionals,F,Black,1965,1987-06-16,N,Davidson,2024,59,55-59,1987,37
OR13,183543.57,7420,Water Svcs Asst Dir,Water Services,Fulltime,Officials and administrators,M,Black,1959,1987-07-01,Y,Davidson,2024,65,65-69,1987,37
OR05,79867.02,7245,Admin Svcs Officer 4,Codes Administration,Fulltime,Professionals,F,White,1966,1987-07-13,Y,Davidson,2024,58,55-59,1987,37
OR03,74618.35,7244,Admin Svcs Officer 3,Trustee,Fulltime,Professionals,F,White,1961,1987-07-15,N,Davidson,2024,63,60-64,1987,37
ST10,68730.34,10892,Victim Advocate 2,District Attorney,Fulltime,Professionals,F,Black,1960,1987-08-24,Y,Davidson,2024,64,60-64,1987,37
ST08,60144.59,10124,Office Support Spec 2,Water Services,Fulltime,Administrative support,F,White,1961,1987-08-28,N,Davidson,2024,63,60-64,1987,37
OR10,112634.56,6232,Finance Mgr,County Clerk,Fulltime,Officials and administrators,F,Black,1963,1987-09-01,N,Davidson,2024,61,60-64,1987,37
OR13,183169.04,11302,Chief of Operations-DCSO,Sheriff,Fulltime,Officials and administrators,M,White,1968,1987-09-01,Y,Davidson,2024,56,55-59,1987,37
ST11,65458.76,10556,Facilities Maint Specialist,Health,Fulltime,Service/Maintenance,M,Black,1965,1987-09-28,N,Davidson,2024,59,55-59,1987,37
OR04,79774.33,7779,Info Systems App Analyst 1,Public Library,Fulltime,Professionals,F,White,1965,1987-10-01,N,Wilson,2024,59,55-59,1987,37
OR09,134683.65,10888,Operations Manager,Juvenile Court Clerk,Fulltime,Officials and administrators,M,Black,1965,1987-12-01,Y,Davidson,2024,59,55-59,1987,37
TS10,69057.91,7327,Maint & Repair Supv,Public Library,Fulltime,Service/Maintenance,M,White,1968,1988-01-04,Y,Davidson,2024,56,55-59,1988,36
ST10,72445.0,7730,CAD/GIS Analyst 2,Water Services,Fulltime,Technicians,M,White,1965,1988-02-01,N,Davidson,2024,59,55-59,1988,36
OR04,79774.33,7756,Technical Specialist 1,Water Services,Fulltime,Professionals,M,Asian,1952,1988-02-01,Y,Sumner,2024,72,70-74,1988,36
OR07,113468.17,7242,Admin Svcs Mgr,General Services,Fulltime,Officials and administrators,M,White,1962,1988-02-16,Y,Davidson,2024,62,60-64,1988,36
OR05,69448.27,10153,Finance Spec,Health,Fulltime,Professionals,F,Black,1959,1988-02-16,N,Davidson,2024,65,65-69,1988,36
PS09,193366.8,10154,Police Dpty Chief,Police,Fulltime,Officials and administrators,F,White,1965,1988-03-16,Y,Williamson,2024,59,55-59,1988,36
JS03,88871.0,7791,Judicial Asst 2,State Trial Courts,Fulltime,Protective service workers,M,White,1964,1988-03-16,Y,Robertson,2024,60,60-64,1988,36
PS04,92327.63,7357,Police Officer 2-Fld Trng Ofcr,Police,Fulltime,Protective service workers,M,Black,1965,1988-03-16,N,Rutherford,2024,59,55-59,1988,36
DP02,265588.15,1110,Police Chief,Police,Fulltime,Officials and administrators,M,Black,1964,1988-03-16,Y,Wilson,2024,60,60-64,1988,36
PS06,120867.3,7355,Police Lieutenant,Police,Fulltime,Professionals,M,White,1966,1988-03-16,N,Williamson,2024,58,55-59,1988,36
PS05,106856.75,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1963,1988-03-16,N,Wilson,2024,61,60-64,1988,36
TG12,54118.08,3020,Masonry Worker,Parks,Fulltime,Skilled craft workers,M,White,1960,1988-03-25,N,Sumner,2024,64,60-64,1988,36
NS,101101.04,6502,Deputy Criminal Ct Clerk 1,Criminal Court Clerk,Fulltime,Administrative support,M,White,1963,1988-05-02,Y,Davidson,2024,61,60-64,1988,36
OR03,70709.56,7244,Admin Svcs Officer 3,Water Services,Fulltime,Professionals,F,Black,1969,1988-05-02,N,Davidson,2024,55,55-59,1988,36
OR05,84030.64,7377,Program Mgr 2,Sheriff,Fulltime,Officials and administrators,F,White,1969,1988-05-11,Y,Cheatham,2024,55,55-59,1988,36
OR13,154182.26,7420,Water Svcs Asst Dir,Water Services,Fulltime,Officials and administrators,F,White,1970,1988-05-23,Y,Davidson,2024,54,50-54,1988,36
NS,142031.52,10816,Satellite position,Circuit Court Satellite,Fulltime,Professionals,F,White,1969,1988-06-06,Y,Davidson,2024,55,55-59,1988,36
NS,37047.92,10576,Sheriff Chaplain,Sheriff,Parttime,Professionals,M,Black,1953,1988-06-16,N,Davidson,2024,71,70-74,1988,36
